threads,implementation,input,contains-cycle,time-to-finish,is_DAS
,1_naive,"bintree-cycle
",True,11037,True
,1_naive,"bintree-cycle
",True,11037,True
,1_naive,"bintree-cycle
",True,9,True
2,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
2,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
2,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
2,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
2,1_naive,"bintree-cycle-min
",True,9,True
,1_naive,"bintree-cycle-min
",True,9,True
,1_naive,"bintree-cycle-min
",True,9,True
,1_naive,"bintree-cycle-min
",True,9,True
,1_naive,"bintree-cycle-min
",True,9,True
,1_naive,"bintree-cycle-min
",True,11310,True
2,1_naive,"bintree-cycle-min
",True,11310,True
,1_naive,"bintree-cycle-min
",True,11310,True
,1_naive,"bintree-cycle-min
",True,11310,True
,1_naive,"bintree-cycle-min
",True,11310,True
,1_naive,"bintree-cycle-min
",True,11310,True
,1_naive,"bintree-cycle-min
",True,11535,True
2,1_naive,"bintree-cycle-min
",True,11535,True
,1_naive,"bintree-cycle-min
",True,11535,True
,1_naive,"bintree-cycle-min
",True,11535,True
,1_naive,"bintree-cycle-min
",True,11535,True
,1_naive,"bintree-cycle-min
",True,11535,True
,1_naive,"bintree-cycle-min
",True,10405,True
2,1_naive,"bintree-cycle-min
",True,10405,True
,1_naive,"bintree-cycle-min
",True,10405,True
,1_naive,"bintree-cycle-min
",True,10405,True
,1_naive,"bintree-cycle-min
",True,10405,True
,1_naive,"bintree-cycle-min
",True,10405,True
,1_naive,"bintree-cycle-min
",True,11514,True
2,1_naive,"bintree-cycle-min
",True,11514,True
